Review text,Amazon Rating,Date of Review
\n\n  Size issue and less absorbency. I'm very disappointed since a big brand like Pampers are not able to design proper size and fitting as per a 15 days older baby. They claim to be the best quality but what matters first is the fit and size. This was XS size but it's still too large. The baby body size and health is normal.I'm too surprised when I recently bought a small company diapers and they're so perfectly fit and very comfortable and also cheaper than Pampers.I think such a big company should always see the usability of the product first rather than just launching new verieties daily and just claiming that they're the best in market.I'll rate 2.5 out of 5 here! Not satisfied!\n\n,2.0 out of 5 stars,Reviewed in India on 26 March 2021
"\n\n  Great product, it's absorb and long for all overnight. I must say this is much better product than pampers.Pampers is good and Huggies is even better.You get the better product but at low cost than pampers.Thank You Huggies.\n\n",5.0 out of 5 stars,Reviewed in India on 7 August 2019
"\n\n  I used to order them frequently, but unfortunately this time Iam not satisfied with diapers. Out of 24 pieces urine leaked in 8 diapers, with in half an hour of usage.My infants were crying I couldn\u2019t find the reason, but When I checked, I found their pants , bedding was wet.\n\n",1.0 out of 5 stars,Reviewed in India on 5 July 2020
"\n\n  Definitely I would recommend Huggies.It is better than any other brands regarding comfort,leak proof ,cost,etc.Regarding health ,it is best for babies.There is no diaper rash or any other discomfort.It is perfectly fit and leak proof is cent percent.It is so soft that newborns dont have any skin issues.Regarding absorbency, it is not best for 12 hrs as they say.it will also depend on babies.Huggies are available at huge discounts compared to other brands.\n\n",5.0 out of 5 stars,Reviewed in India on 12 October 2019
"\n\n  New Generation Huggies is very bad, not sure what bubbles technology? but pants is getting full in just 2 hours and baby is getting wet. Older huggies was really good, it was easily sustaining for minimum 4-5 hours. I have switched to different brand, based upon my experience of poor quality of product of my last 2 purchases.\n\n",1.0 out of 5 stars,Reviewed in India on 9 November 2019
"\n\n  I wont usually do reviews, and mostly i rate 5stars if i liked. After reading lot of reviews,  I bought this for the second time, 48 xs sized for my newborn. First set of 48 pants i got, had no issues. So that only i ordered again. But now all has been changed. It is not even lasting for an hour. Having severe leakage issue. Since it cant be returned, fingures crossed with 40+ pants more.\n\n",1.0 out of 5 stars,Reviewed in India on 21 May 2020
"\n\n  This is one of the best so far from Online Shopping out there. No side effects till now. Help my daughter out a lot... I suggest all of u go for this item. You wouldn't regret it. I personally love this product. It absorbed very well and we never face a leakage problem unless it's totally full.  Thanks, Amazone for this item.\n\n",4.0 out of 5 stars,Reviewed in India on 21 September 2020
\n\n  Not the diaper anybody would want their child to wear.Worst of the pamperNo pros only consDoesn\u2019t soakLeakage problemUncomfortable for childScentedAvoid it.\n\n,1.0 out of 5 stars,Reviewed in India on 19 December 2019
"\n\n  Compared to Mamy poko pants ,The Absorbancy is low for sureOf Course mamy is slightly priced high than huggies .When you leave diaper for say 4-5 hrs on night  its leaking (May be good for people change more frequently) But i expect to be trouble free till 5 hrs\n\n",3.0 out of 5 stars,Reviewed in India on 9 July 2020
\n\n  Useless diapers! Potty leaks right out of the diapers on to the kid's clothes..it is very loose fitted even for a 5kg kid. Elastic is a joke when it comes to these diapers. Do not buy and waste your money. Go for pampers or any other brand. Extremely disappointed.\n\n,1.0 out of 5 stars,Reviewed in India on 7 March 2021
\n\n  Huggies is really working great for my baby. I m using since 3 month for my new born baby on suggestion of my friends and it is  really a good diaper than other brands. It never leaked . absorbancy is very good.  Doesn't feel wet.\n\n,5.0 out of 5 stars,Reviewed in India on 12 November 2019
\n\n  It is perfect for new born upto I guess 3-4 months. It fits perfectly. I really like the good smell which comes out. It absorbs really well. I am very happy with the product. It is easy to use too with clear markings for front and back.\n\n,5.0 out of 5 stars,Reviewed in India on 17 September 2020
\n\n  It's not at all for the new born babies especially for the new born below 3kg. It leaks.On top of that max to max it can absorb for not more than 6 to hrs.I had to sew every diaper before making my baby wear it.\n\n,3.0 out of 5 stars,Reviewed in India on 8 May 2020
"\n\n  Huggies newborn diaper is best amongs all other brands in the market. I don't know why people have gave low rating to this product. First of all this is so comfortable to the baby, obserbancy is too good and importantly it is leak proof. Also this is cost efficient from other brands. I would definitely recommend this to everyone.\n\n",5.0 out of 5 stars,Reviewed in India on 24 July 2020
"\n\n  Absorbency and softness is good, but sometimes leakage issue was encountered, all in over it is value for money if one doesn't keep child's diaper on for long. Compared to Pampers, mee mee and mamy poko pants it is affordable and surely value for money.\n\n",4.0 out of 5 stars,Reviewed in India on 19 October 2020
\n\n  Product quality is not good after wearing this my daughter she is getting rashes and it is not staying longer for more hours only just for 3 hours.While when I was using mammy pants they stay for longer. This is my last order for huggies. So bad quality I had order 8 pack of 24 huggies don\u2019t know what will with those daipers. Wasted my money.\n\n,1.0 out of 5 stars,Reviewed in India on 9 January 2020
\n\n  Bought these thinking of the brand name and brand image but they seem to be economical but if you use them you will end up changing diapers frequently which if calculated makes them costly because in comparison with other brands if you for example in  2 hours you change other brands once huggies will need 2-3 diaper change. So effectively they are not at all economical and more over chances of rash and all\n\n,2.0 out of 5 stars,Reviewed in India on 15 October 2020
\n\n  Product is undoubtly soft but absorbency is only average.. i m using it on my 3 months baby but as the company promises that the product will absorb or leak proof for 12 hrs thats not true it only last for 3 or max 4 hrs on single piece.\n\n,3.0 out of 5 stars,Reviewed in India on 18 August 2020
"\n\n  This is a value for money product in the range of newborn diapers.works above average, the absorbency is good, as described not work till 12 hrs but it depends upon the volume of urine passed by the baby . The wetness indicator is not very obvious .\n\n",5.0 out of 5 stars,Reviewed in India on 10 May 2020
"\n\n  As a avid Pampers user, I was using Pampers new baby diapers, it's good, but due to some reason the poop will always leak, so I thought to give Huggies a try, the quality is good, everything felt good, but it pee leaked so much, I will hope for it to not leak when I put it on, the waist elastic is so soft that it gets pulled down and it starts to leak, maybe it will work for the babies who are on healthier side.\n\n",3.0 out of 5 stars,Reviewed in India on 1 May 2021
"\n\n  The diaper is not at all absorbent and leak proof, it's all wet from outside rather than soaking, I suspect whether it is original or not or the product have some manufacturing defect.\n\n",1.0 out of 5 stars,Reviewed in India on 17 March 2021
\n\n  Ordered several packs after positive experience with Huggies pants of similar description. Unfortunately the ones I received were different. It lets the baby feel the wetness and leaks every single time. Baby isn't sleeping at all.\n\n,2.0 out of 5 stars,Reviewed in India on 6 October 2019
"\n\n  Its for 5 kg ....but my baby is 4.25kg and its cant hold the liquid for hours, but for newborn baby xs size is good... i tried pampers, mamy poco .... But they are not impressive. Huggies is good. Amazon should available billion dypers its great.\n\n",5.0 out of 5 stars,Reviewed in India on 20 October 2019
\n\n  Not a great product. This particular product in xtra small size doesn't fit properly and is loose from sides due to which urine gets leaked and baby clothes get wet.Pamper for similar size is much better product and has better fitting.\n\n,2.0 out of 5 stars,Reviewed in India on 22 January 2021
\n\n  Looks this is duplicate product..baby urine deposited at bottom portion only...even diapper fully filled with urine it's all located at bottom portion. It's not absorbed evenly...I purchased 3 pack...all are having this same issue...but local shop purchased are looks good and its absorbed evenly in all areas...\n\n,1.0 out of 5 stars,Reviewed in India on 18 March 2021
"\n\n  Right size, soft, fits well. Easy to wear & remove. Using it for my new born baby since two weeks. Better than the strap-on diapers which can open up any time! Economical too.\n\n",5.0 out of 5 stars,Reviewed in India on 1 September 2020
"\n\n  I've tried Huggies for my kid after trying Pampers and trust me, Pampers is way better. Pampers doesn't leak like Huggies do. Not recommended. Do not buy this product. After all it for convenience of our kid and not for making the baby cry due to wet pants.\n\n",1.0 out of 5 stars,Reviewed in India on 30 December 2019
\n\n  Nice product. It fits to small child with weight 2.7kg also where mammy poco pants not fit. With bubbles technology my baby feels comfortable. And twin pack of huggies 24 pcs are cheaper. Must buy\n\n,5.0 out of 5 stars,Reviewed in India on 10 May 2020
\n\n  Its soaking capacity is more than other diapers. It is also leak proof and comfortable. But price is little bit high than other diapers like Pampers.\n\n,5.0 out of 5 stars,Reviewed in India on 6 April 2019
"\n\n  I used this product for my new born , it was a perfect size for a new born but it doesn\u2019t have a good durability . If you talk about night it always use to leak. It is cheaper than other brands, I bought for 139rs 24 diapers. These diapers you can use at home or when you need only for ab hour or two.\n\n",3.0 out of 5 stars,Reviewed in India on 21 May 2020
\n\n  Good diaper for new borns. Best thing is that it has wetness indicator. Another good thing is that it is leak proof. Dryness and absorption is also good but not as good as pampers. I couldn't find any wetness indicator in pampers. In all it is a good diaper for newborns who do not have potty routine as it is one of the cheapest option.\n\n,5.0 out of 5 stars,Reviewed in India on 14 July 2020
\n\n  I was ordered this new one package..this new one Huggies is highly denzerous for new born baby\U0001f476...After using 10 days it was allgertic on his private parts....please don't buy this new one packing Huggies..\n\n,1.0 out of 5 stars,Reviewed in India on 23 January 2020
\n\n  Super product but low budget and low price do not forget to offer is available low price in everybody in 0-3 babies use only 5kg ....\n\n,5.0 out of 5 stars,Reviewed in India on 12 January 2021
\n\n  The condition of the diaper is very bad. It is very thin and this water is very less soaked. The baby starts feeling wet once the child urinates. The diaper with haggis is bad. I took the diaper from Amazon for the first time. 11 November 2020  Do not buy haggis diapers accordingly\n\n,1.0 out of 5 stars,Reviewed in India on 13 November 2020
\n\n  Working well for our kid. No rashes or any other issues for the new born. Check out the price before ordering. Have been seeing lot of fluctuations in process offlate\n\n,5.0 out of 5 stars,Reviewed in India on 11 July 2020
"\n\n  This is item is always delivered on time, I receive it very next day .... Diapers and Pants are both good it really depends on each ones preferences ... Pants are good and cost effective ... the lightning deals offer a better price ... thanks\n\n",5.0 out of 5 stars,Reviewed in India on 6 March 2020
"\n\n  I like this diaper more than the ""new born"" because its very soft & has bubble layering which soaked the liquid & ur baby feel dry.I wish the layering should stay all over pant.but it is only in a certain portion.\n\n",5.0 out of 5 stars,Reviewed in India on 6 November 2019
\n\n  Damage Packages received as per policy can't replace and return. Loss of MONEY and TIME.Don't buy if you want to save money. Choice yours.\n\n,1.0 out of 5 stars,Reviewed in India on 19 November 2020
\n\n  It's very soft but as claimed it doesn't work for long time it works for 4 to 5 hours but overall value for money product\n\n,5.0 out of 5 stars,Reviewed in India on 11 March 2021
"\n\n  I want to change this package because this is very small can you please tell me how to change this diaper, this is no useful for us can you change diapers please send me big diapers, please change this diaper bag then I will return it to you\n\n",1.0 out of 5 stars,Reviewed in India on 4 December 2020
\n\n  Worst quality product. The waist band is terrible. It makes rashes on body. Don't waste ur money as you can't return it.\n\n,1.0 out of 5 stars,Reviewed in India on 19 September 2020
"\n\n  My baby at 1 month has chosen this to be his favourite diaper amongst all others (Less cries).. After a trail with this small pack of 27, we have ordered it in bulk, thanks to Amazon discounts..!\n\n",5.0 out of 5 stars,Reviewed in India on 23 October 2019
"\n\n  Absorption level is good but for infants, diaper should be worn little above the hip for leak proof. Good for nights.\n\n",4.0 out of 5 stars,Reviewed in India on 12 March 2021
\n\n  The NEW Huggies wonder pants are the best I've used for my little one so far. I've tried other brands but not as satisfied as I'm with this one. Completely rash free skin my baby's been habit since I used this andit has bery good absorbance. Doesn't leak either and last the whole night. Love this product and I definately recommend it for new borns especially.\n\n,5.0 out of 5 stars,Reviewed in India on 30 April 2020
\n\n  My baby has chosen this to be his favourite.. Long lasting and no crankiness..  After a small pack sample buy we decided to use this as a permanent one.. thanks to Amazon discounts.\n\n,5.0 out of 5 stars,Reviewed in India on 23 October 2019
\n\n  To be honest my child suffer from rashes and itchiness after using this product.yes there is skin difference in each baby so it all about to know suitable things for your child\n\n,2.0 out of 5 stars,Reviewed in India on 20 November 2019
\n\n  Comfortable! Child does not get irritated. It is very soft! Does not give rashes on baby\u2019s bum. Does not leak and absorbs everything. It is affordable as well.\n\n,4.0 out of 5 stars,Reviewed in India on 22 April 2021
\n\n  This is duplicate product. Its not absorbed property after 1 to 2 hrs i have to change baby daiper otherwise it's leaking.\n\n,1.0 out of 5 stars,Reviewed in India on 16 October 2020
\n\n  I didn\u2019t find it much of a help.. the diapers are soft undoubtedly but not that great in its absorbency.. I\u2019ve used pampers premium care pants but nothing works like mamy poko pants .. mamy poko pants is best\U0001f44d\U0001f3fb\n\n,3.0 out of 5 stars,Reviewed in India on 23 February 2021
\n\n  Plz dnt buy this product.... Its rubbish... Doesn't soak well. Get messed up in few minutes.... Better buy pampers. Nt good at all.\n\n,1.0 out of 5 stars,Reviewed in India on 22 January 2021
\n\n  This product is not good becoz my baby got rashes and she got red mark on bump which is very much painfull... I bought this product thinking in less price I got more quantity. But it's so harmful for small newborn .. I was unaware...company shouldn't sell product like this.\n\n,1.0 out of 5 stars,Reviewed in India on 15 November 2020
"\n\n  Good product for your baby, work as described, very soft and comfortable.\n\n",5.0 out of 5 stars,Reviewed in India on 7 December 2019
"\n\n  Huggies wonder pants are good in every aspect, there is one thing which can be improved ie. Size, a little bit large, not fitted properly for 25 days old baby.... although it is comfortable, leak proof\n\n",4.0 out of 5 stars,Reviewed in India on 27 June 2019
\n\n  Pathetic product not sure if hsve received an orignal product. Ttied the first diaper on my little one and it leaked from side.the elastic has lost its elasticity...unfortunately will have to throw it away as no return policyutter waste of money..plesse dont bug these.babyhug are 100 times better\n\n,1.0 out of 5 stars,Reviewed in India on 28 October 2020
\n\n  Wonder pants are  wonderingWork.... Very likelyBubble bed technology very effective\n\n,5.0 out of 5 stars,Reviewed in India on 16 December 2020
"\n\n  Diapers are good in quality, leakproof and soft as well but size is little bit small i comparison of other brand\n\n",4.0 out of 5 stars,Reviewed in India on 18 June 2020
"\n\n  Worst product, have to change  every two hours,. Starts leaking from side. Diaper size is very big for new born. I have previously used pampers. It is much much better than this\n\n",1.0 out of 5 stars,Reviewed in India on 16 February 2021
\n\n  Really good diaper due to it improve design ( bubble bed). Absorb well and no leakage. Another factor is economic in comparison to other.\n\n,4.0 out of 5 stars,Reviewed in India on 23 June 2020
"\n\n  Out of 2 packets of diaper ,in 1 of them the diapers waist elastic was little loose in some of the diapers ,so there can be chances of leak and the other pack is totally fine... softness was also good for child as compare to their age\n\n",3.0 out of 5 stars,Reviewed in India on 28 October 2020
\n\n  Very poor quality don't buy Huggies because it cannot absorb properly and pamper is far better than this. If you're looking for a new born diaper then this is not for that purpose.\n\n,1.0 out of 5 stars,Reviewed in India on 4 November 2020
"\n\n  I bought this product several times and i was happy with the absorption. But when i bought  these last time, the diapers are leaking. I thought it might be issue with one odd diaper in pack but i have used 4-5 diapers from the same pack which i bought recently all are having same issue. It starts leaking after some time.\n\n",2.0 out of 5 stars,Reviewed in India on 9 December 2019
"\n\n  At times it leaks a bit. But overall it is great. If used properly, I believe it is way better than its competitors.\n\n",5.0 out of 5 stars,Reviewed in India on 3 January 2021
"\n\n  Better version of previous huggie pants. We stopped using huggie earlier due to leakage issue,  but this one is really good.\n\n",5.0 out of 5 stars,Reviewed in India on 18 September 2020
\n\n  Nice product but only concern is size. My baby is one month old. I bought XS size. But still it's a big size for her. Rest it's a very good product with nice discount.\n\n,4.0 out of 5 stars,Reviewed in India on 8 October 2019
\n\n  I bought some time ago this small size which is not fit for my baby so I again order xs size but I am surprised bcos this one is as same as small size so  I am very disappointed\n\n,1.0 out of 5 stars,Reviewed in India on 26 December 2020
\n\n  Have tried all brands available in market. I must say Huggies diapers are the best suited for my little ones. Results may very for individuals. I would suggest first try small packs of all brands and then choose the best suitable diaper for your baby.\n\n,5.0 out of 5 stars,Reviewed in India on 25 October 2020
\n\n  Product ok..But the Packing was very pathetic.Its new baby born item.but they are not provide any secure packing.\n\n,1.0 out of 5 stars,Reviewed in India on 27 June 2020
\n\n  It's not thick and it won't be sufficient for whole night. The normal which we buy from market is better than this one.\n\n,1.0 out of 5 stars,Reviewed in India on 7 July 2020
\n\n  The size is big for new borns so it leaks a bit if the baby sleeps on its side.. but otherwise it's very good and value for money.Soft and smooth for new born's tender skin\n\n,4.0 out of 5 stars,Reviewed in India on 29 May 2020
\n\n  Best product i used most of diapers brand available in the market. However choice differ from people to people.\n\n,5.0 out of 5 stars,Reviewed in India on 30 October 2019
\n\n  Super absorbent and long lasting with causing any discomfort or rashes. Thanks amazon for selling this product at discount rates.\n\n,4.0 out of 5 stars,Reviewed in India on 19 October 2019
\n\n  I request not to buy this product we qre buying for babies how should it be?it must be soft and good aborbency but it peeking capacity more and babies getting rashes very bad quality very much disappointed with it\n\n,1.0 out of 5 stars,Reviewed in India on 13 October 2020
"\n\n  I m using this diaper from last 2 years and i k quite happy with the product, brand is good, trustworthy and reliable.. No leakage, no bad smell only Happy Baby\U0001f425\n\n",5.0 out of 5 stars,Reviewed in India on 8 April 2021
"\n\n  This diper is not good for infants, It leaves rashes and redness on their body,\n\n",1.0 out of 5 stars,Reviewed in India on 27 August 2020
\n\n  Packing is not well no any amazon brand bag on it and no any tag on it bad exp otherwise product is well but needs to be packed in box on bag.\n\n,2.0 out of 5 stars,Reviewed in India on 29 November 2020
\n\n  Will not recommended anyone to buy this product. Liquid absorptionin for this diaper is very bad.\n\n,1.0 out of 5 stars,Reviewed in India on 6 December 2020
\n\n  Huggies small size pants is worst in quality. Child's  toilet leaks out and wets the bed and child. And as a result he cries. No use. Pampers I used it's the far more better than this.\n\n,1.0 out of 5 stars,Reviewed in India on 4 February 2019
\n\n  I have used huggies diaper before but this particular pack was horrible... My kid got rashes as it doesn't absorb and doesn't stay for even an hour\n\n,1.0 out of 5 stars,Reviewed in India on 7 February 2021
\n\n  Excellent for kids. I used for my baby from new born till now he is 6 months old. Best price and good quality.\n\n,5.0 out of 5 stars,Reviewed in India on 14 July 2020
\n\n  In many diaper there is issue of leakage\n\n,3.0 out of 5 stars,Reviewed in India on 29 December 2020
\n\n  Very good daipers my baby is very comfortable on this. I used my elder boyalso when he small. I using this for last 3 years. Very happy on this product.\U0001f618\U0001f618\U0001f618\n\n,5.0 out of 5 stars,Reviewed in India on 1 November 2019
\n\n  Causes raah in my 1 month baby. Very bad in quality. However the taped diapers are much more good than these pants.\n\n,1.0 out of 5 stars,Reviewed in India on 29 September 2020
"\n\n  Nice and soft for new born ,upto 3month infant good absorbing no rashes\n\n",4.0 out of 5 stars,Reviewed in India on 5 March 2021
"\n\n  S, good in absorption, soft n good in leak proof. In my opinion go with this for once. If u satisfied, then u order for monthly package.\n\n",4.0 out of 5 stars,Reviewed in India on 27 May 2020
\n\n  Using it for a newborn and it works as intended. No rashes or uneasiness observed so far.\n\n,5.0 out of 5 stars,Reviewed in India on 3 November 2020
\n\n  Not happy with it. Very often it leaks. My child is also getting rashes. Don't feel like continuing with it.\n\n,2.0 out of 5 stars,Reviewed in India on 7 February 2020
\n\n  Very good product and far better than Pampers. Very soft and no comfort issue coming from baby. This is the best pants for newborn babies.\n\n,5.0 out of 5 stars,Reviewed in India on 20 February 2020
"\n\n  Don't buy this, the worst product. This one doesn't even absorb a single time, seems like a paper diaper without absorbent..Tried several brands for new born, found many poko pants as best..\n\n",1.0 out of 5 stars,Reviewed in India on 30 January 2021
"\n\n  Don't go by name... It's absorbing capacity is null.seems some duplicate product.Try to avoid this product.Though the price is bit less ,but u have to change the diaper in every 4 hrs.\n\n",1.0 out of 5 stars,Reviewed in India on 1 July 2020
\n\n  This diaper pants from Huggies is the most softest non-premium diaper pants. It absolutely have a very high  absorbency rate which makes it leak proof and long lasting. And these things made me to add this in my monthly subscription for my baby.\n\n,5.0 out of 5 stars,Reviewed in India on 10 June 2020
\n\n  Worst kind...looks like a duplicate product...not lasting even for 2-3:hours.. shame!!!\n\n,1.0 out of 5 stars,Reviewed in India on 16 November 2020
\n\n  Absorption is not as claimed. It get heavy in jut 3-4 as compared to my last purchase of the same product but different brand. This time I opted for this brand but I was wrong\n\n,3.0 out of 5 stars,Reviewed in India on 3 March 2021
\n\n  It is soft ..my infant baby feels comfortable and sleeps nicely only issue is that it last 5 hours.\n\n,4.0 out of 5 stars,Reviewed in India on 26 August 2020
\n\n  I hv no idea why my latest buy of huggies is having so absorbing problem...Same with pampers..using xs of huggies n xl of pampers6 hrs it starts leaking..\n\n,2.0 out of 5 stars,Reviewed in India on 25 October 2020
\n\n  Its soft...longlasting too.babies don't like disturbance in the night.so can be used for whole night\n\n,5.0 out of 5 stars,Reviewed in India on 20 November 2019
\n\n  It's ok... My baby woke up pretty earlier ... I don't know if it's diaper or hunger anyways..Absorbency is ok. Have to change every 8hrs.It's leak proof and soft\n\n,3.0 out of 5 stars,Reviewed in India on 24 January 2020
\n\n  Now says huggies diaper quality is not up to the mark & Standard. I order diaper for my new born  son... these diaper cannot absorb water at all.....\n\n,1.0 out of 5 stars,Reviewed in India on 8 October 2019
"\n\n  It's very good product good quantity smoooooooth product,caust also very less 5.70/_ eachI will buy it againIf baby needs\n\n",5.0 out of 5 stars,Reviewed in India on 1 December 2019
\n\n  The diaper was not in proper shape. It was stricted and we could not use it for baby  . This is very disgusting that you dont check the product before delivering.  We open that midnight and found no option going to nearest chemist to buy the same.\n\n,1.0 out of 5 stars,Reviewed in India on 11 November 2020
"\n\n  This daiper is very comfortable for my new born. It's absorbency is good and doesn't feel wet when we touch the wet daiper. Sometimes when Even though it's mentioned for 12hrs ,I personally recommend not to keep the wet diaper for more than 5-6 hrs .\n\n",4.0 out of 5 stars,Reviewed in India on 2 December 2019
\n\n  I like the product's price. The quality of this product is worst. Two or three toilet of my 20 days old baby is good anough to over load a diaper within 3 to 4hours. I found the bed became wet after 5 hours. Please do not buy if you to keep your baby safe.\n\n,3.0 out of 5 stars,Reviewed in India on 21 September 2020
\n\n  Absorbing capacity is very less.. And it is not completely leakage proof.Completely duplicate or useless product.\n\n,1.0 out of 5 stars,Reviewed in India on 23 March 2021
"\n\n  After pampers , one brand that I am completely satisfied with is Huggies... Really good quality at this rate, absorbency is super. No leakage issues, light weight..\n\n",5.0 out of 5 stars,Reviewed in India on 5 June 2020
\n\n  It's not for new born.. my baby is 3kg and its too loose. It's for 4kg + baby\n\n,3.0 out of 5 stars,Reviewed in India on 3 November 2020
"\n\n  Huggies tried first time and experienced bad, in couple hours start leaking, pampers and mamapoko pants are best.\n\n",1.0 out of 5 stars,Reviewed in India on 26 January 2021
\n\n  These Diapers are good for newborn. I m using this from last 2 months for my daughter.it's price is much better then other diapers. \U0001f44d\n\n,4.0 out of 5 stars,Reviewed in India on 26 December 2019
\n\n  The material is sofrt but is of bad quality if co.pared to compititors. The sides (near welcrows) tear even if little pressure is applied. Its good only for few hours. Yes it is cheaper than other brands.\n\n,1.0 out of 5 stars,Reviewed in India on 17 March 2021
\n\n  Didnt get bubble bed pack and also i got old pack its very hard for baby skin to wear and over dry .... i regularly buy huggies bubble bed pack in amazon this time i got dissapointed ...little bit i lost trust on amazon\n\n,1.0 out of 5 stars,Reviewed in India on 4 November 2019
\n\n  Value for money... Even if one extra is used/needed.. The price per piece really makes it affordable...\n\n,5.0 out of 5 stars,Reviewed in India on 11 September 2020
